ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L,Availability
9780131103627,The C Programming Language,Brian W. Kernighan & Dennis M. Ritchie,1988,Prentice Hall,https://covers.openlibrary.org/b/isbn/9780131103627.0-S.jpg,https://covers.openlibrary.org/b/isbn/9780131103627.0-M.jpg,https://covers.openlibrary.org/b/isbn/9780131103627.0-L.jpg,https://www.amazon.in/dp/0131103628
9780134997193,Computer Organization and Architecture,William Stallings,2019,Pearson Education,https://covers.openlibrary.org/b/isbn/9780134997193.0-S.jpg,https://covers.openlibrary.org/b/isbn/9780134997193.0-M.jpg,https://covers.openlibrary.org/b/isbn/9780134997193.0-L.jpg,https://williamstallings.com/ComputerOrganization/
9780195154559,Computer Architecture,Behrooz Parhami,2005,Oxford University Press,https://covers.openlibrary.org/b/isbn/9780195154559.0-S.jpg,https://covers.openlibrary.org/b/isbn/9780195154559.0-M.jpg,https://covers.openlibrary.org/b/isbn/9780195154559.0-L.jpg,https://www.amazon.in/dp/019515455X
9780128119051,Computer Architecture: A Quantitative Approach,Patterson & Hennessy,2017,Elsevier,https://covers.openlibrary.org/b/isbn/9780128119051.0-S.jpg,https://covers.openlibrary.org/b/isbn/9780128119051.0-M.jpg,https://covers.openlibrary.org/b/isbn/9780128119051.0-L.jpg,https://www.elsevier.com/books/computer-architecture/patterson/978-0-12-811905-1
9788175152571,Fundamentals of Data Structures,Horowitz & Sahani,2008,Galgotia Publications,https://covers.openlibrary.org/b/isbn/9788175152571.0-S.jpg,https://covers.openlibrary.org/b/isbn/9788175152571.0-M.jpg,https://covers.openlibrary.org/b/isbn/9788175152571.0-L.jpg,https://www.amazon.in/dp/8175152575
9780201896831,The Art of Computer Programming Vol. 1 & 3,Donald Knuth,1997,Addison-Wesley,https://covers.openlibrary.org/b/isbn/9780201896831.0-S.jpg,https://covers.openlibrary.org/b/isbn/9780201896831.0-M.jpg,https://covers.openlibrary.org/b/isbn/9780201896831.0-L.jpg,https://www-cs-faculty.stanford.edu/~knuth/taocp.html
9780074624715,An Introduction to Data Structures with Applications,Tremblay & Sorenson,1984,McGraw-Hill,https://covers.openlibrary.org/b/isbn/9780074624715.0-S.jpg,https://covers.openlibrary.org/b/isbn/9780074624715.0-M.jpg,https://covers.openlibrary.org/b/isbn/9780074624715.0-L.jpg,https://www.amazon.in/dp/0074624717
9780074623404,Discrete Mathematical Structures,J.P. Tremblay & R. Manohar,2001,McGraw-Hill Education,https://covers.openlibrary.org/b/isbn/9780074623404.0-S.jpg,https://covers.openlibrary.org/b/isbn/9780074623404.0-M.jpg,https://covers.openlibrary.org/b/isbn/9780074623404.0-L.jpg,https://www.amazon.in/dp/0074623400
9780071470384,Schaum's Outline of Discrete Mathematics,Seymour Lipschutz,2007,McGraw-Hill Education,https://covers.openlibrary.org/b/isbn/9780071470384.0-S.jpg,https://covers.openlibrary.org/b/isbn/9780071470384.0-M.jpg,https://covers.openlibrary.org/b/isbn/9780071470384.0-L.jpg,https://www.amazon.in/dp/0070611690
9780262028189,Introduction to Machine Learning,Ethem Alpaydin,2014,MIT Press,https://covers.openlibrary.org/b/isbn/9780262028189.0-S.jpg,https://covers.openlibrary.org/b/isbn/9780262028189.0-M.jpg,https://covers.openlibrary.org/b/isbn/9780262028189.0-L.jpg,https://mitpress.mit.edu/9780262028189/introduction-to-machine-learning/
9788187572680,Machine Learning: An AI Approach,"Michalski, Carbonell, Mitchell",1983,Springer,https://covers.openlibrary.org/b/isbn/9788187572680.0-S.jpg,https://covers.openlibrary.org/b/isbn/9788187572680.0-M.jpg,https://covers.openlibrary.org/b/isbn/9788187572680.0-L.jpg,https://www.amazon.in/dp/8187572684
9780124166752,Software Defined Networks,Thomas D. Nadeau & Ken Gray,2013,Elsevier,https://covers.openlibrary.org/b/isbn/9780124166752.0-S.jpg,https://covers.openlibrary.org/b/isbn/9780124166752.0-M.jpg,https://covers.openlibrary.org/b/isbn/9780124166752.0-L.jpg,https://www.oreilly.com/library/view/software-defined-networks/9780124166847/
9781785480034,Digital Identity Management,Maryline Laurent & Samia Bouzefrane,2015,Elsevier / ISTE,https://covers.openlibrary.org/b/isbn/9781785480034.0-S.jpg,https://covers.openlibrary.org/b/isbn/9781785480034.0-M.jpg,https://covers.openlibrary.org/b/isbn/9781785480034.0-L.jpg,https://www.elsevier.com/books/digital-identity-management/laurent/978-1-78548-003-4
9781484228967,IoT Security Issues,Alasdair Gilchrist,2017,Apress / Springer,https://covers.openlibrary.org/b/isbn/9781484228967.0-S.jpg,https://covers.openlibrary.org/b/isbn/9781484228967.0-M.jpg,https://covers.openlibrary.org/b/isbn/9781484228967.0-L.jpg,https://link.springer.com/book/10.1007/978-1-4842-2896-7
9788120319158,Introduction to Operations Research,C.W. Churchman et al.,1957,Prentice-Hall of India,https://covers.openlibrary.org/b/isbn/9788120319158.0-S.jpg,https://covers.openlibrary.org/b/isbn/9788120319158.0-M.jpg,https://covers.openlibrary.org/b/isbn/9788120319158.0-L.jpg,https://www.amazon.in/dp/8120319153
9780071333467,Introduction to Operations Research,Frederick S. Hillier,2014,McGraw-Hill Education,https://covers.openlibrary.org/b/isbn/9780071333467.0-S.jpg,https://covers.openlibrary.org/b/isbn/9780071333467.0-M.jpg,https://covers.openlibrary.org/b/isbn/9780071333467.0-L.jpg,https://www.amazon.in/dp/0071333465
9788126513871,The Data Warehouse and Data Mining,William H. Inmon,2001,Wiley India,https://covers.openlibrary.org/b/isbn/9788126513871.0-S.jpg,https://covers.openlibrary.org/b/isbn/9788126513871.0-M.jpg,https://covers.openlibrary.org/b/isbn/9788126513871.0-L.jpg,https://www.amazon.in/dp/8126513877
9781420089654,The Top Ten Algorithms in Data Mining,Xindong Wu & Vipin Kumar,2009,Springer,https://covers.openlibrary.org/b/isbn/9781420089654.0-S.jpg,https://covers.openlibrary.org/b/isbn/9781420089654.0-M.jpg,https://covers.openlibrary.org/b/isbn/9781420089654.0-L.jpg,https://link.springer.com/book/10.1007/978-1-4419-0161-3
9780262035613,Deep Learning,Ian Goodfellow et al.,2016,MIT Press,https://covers.openlibrary.org/b/isbn/9780262035613.0-S.jpg,https://covers.openlibrary.org/b/isbn/9780262035613.0-M.jpg,https://covers.openlibrary.org/b/isbn/9780262035613.0-L.jpg,https://www.deeplearningbook.org/
9780387848570,The Elements of Statistical Learning,"Hastie, Tibshirani, Friedman",2009,Springer,https://covers.openlibrary.org/b/isbn/9780387848570.0-S.jpg,https://covers.openlibrary.org/b/isbn/9780387848570.0-M.jpg,https://covers.openlibrary.org/b/isbn/9780387848570.0-L.jpg,https://web.stanford.edu/~hastie/ElemStatLearn/
9780201549799,The Design and Implementation of the 4.4 BSD UNIX OS,McKusick et al.,1996,Addison-Wesley,https://covers.openlibrary.org/b/isbn/9780201549799.0-S.jpg,https://covers.openlibrary.org/b/isbn/9780201549799.0-M.jpg,https://covers.openlibrary.org/b/isbn/9780201549799.0-L.jpg,https://www.amazon.in/dp/0201549794
9789353438164,Concepts of Programming Languages,Robert W. Sebesta,2019,Pearson,https://covers.openlibrary.org/b/isbn/9789353438164.0-S.jpg,https://covers.openlibrary.org/b/isbn/9789353438164.0-M.jpg,https://covers.openlibrary.org/b/isbn/9789353438164.0-L.jpg,https://www.amazon.in/dp/9353438162
9780470858923,Programming Language Design Concepts,David A. Watt,2004,Wiley India,https://covers.openlibrary.org/b/isbn/9780470858923.0-S.jpg,https://covers.openlibrary.org/b/isbn/9780470858923.0-M.jpg,https://covers.openlibrary.org/b/isbn/9780470858923.0-L.jpg,https://www.amazon.in/dp/0470858923
9788177584226,Programming Languages: Concepts and Constructs,Ravi Sethi,1996,Pearson Education,https://covers.openlibrary.org/b/isbn/9788177584226.0-S.jpg,https://covers.openlibrary.org/b/isbn/9788177584226.0-M.jpg,https://covers.openlibrary.org/b/isbn/9788177584226.0-L.jpg,https://www.amazon.in/dp/8177584229
9783540795186,Fundamental Numerical Methods for Electrical Engineering,S. Rosłoniec,2008,Springer,https://covers.openlibrary.org/b/isbn/9783540795186-S.jpg,https://covers.openlibrary.org/b/isbn/9783540795186-M.jpg,https://covers.openlibrary.org/b/isbn/9783540795186.0-L.jpg,https://www.amazon.com/Fundamental-Numerical-Methods-Electrical-Engineering/dp/3540795189
9781119631439,"Network Modeling, Simulation and Analysis in MATLAB: Theory and Practices","Dac-Nhuong Le, Sairam Tadepalli, Jyotir Moy Chatterjee, Pramod Singh Rathore, Abhishek Kumar Pandey",2019,Wiley / PHI,https://covers.openlibrary.org/b/isbn/9781119631439-S.jpg,https://covers.openlibrary.org/b/isbn/9781119631439-M.jpg,https://covers.openlibrary.org/b/isbn/9781119631439.0-L.jpg,https://www.amazon.com/Network-Modeling-Simulation-Analysis-MATLAB/dp/1119631432
9780750699167,Electric Vehicle Battery Systems,Sandeep Dhameja,2002,Newnes / Elsevier,https://covers.openlibrary.org/b/isbn/9780750699167-S.jpg,https://covers.openlibrary.org/b/isbn/9780750699167-M.jpg,https://covers.openlibrary.org/b/isbn/9780750699167.0-L.jpg,https://www.amazon.com/Electric-Vehicle-Battery-Systems-Sandeep/dp/0750699167
9780750650922,Lightweight Electric/Hybrid Vehicle Design,John Fenton & Ron Hodkinson,2001,Elsevier,https://covers.openlibrary.org/b/isbn/9780750650922-S.jpg,https://covers.openlibrary.org/b/isbn/9780750650922-M.jpg,https://covers.openlibrary.org/b/isbn/9780750650922.0-L.jpg,https://www.amazon.com/Lightweight-Electric-Vehicle-Automotive-Engineering/dp/0750650923
9780071770569,Build Your Own Electric Vehicle (3rd Edition),Seth Leitman & Bob Brant,2013,McGraw-Hill,https://covers.openlibrary.org/b/isbn/9780071770569-S.jpg,https://covers.openlibrary.org/b/isbn/9780071770569-M.jpg,https://covers.openlibrary.org/b/isbn/9780071770569.0-L.jpg,https://www.amazon.com/Build-Your-Electric-Vehicle-Third/dp/0071770569
9780849331541,"Modern Electric, Hybrid Electric, and Fuel Cell Vehicles: Fundamentals, Theory and Design (1st Edition)","Mehrdad Ehsani, Yimin Gao, Ali Emadi",2004,CRC Press,https://covers.openlibrary.org/b/isbn/9780849331541-S.jpg,https://covers.openlibrary.org/b/isbn/9780849331541-M.jpg,https://covers.openlibrary.org/b/isbn/9780849331541.0-L.jpg,https://www.amazon.com/Modern-Electric-Hybrid-Fuel-Vehicles/dp/0849331544
9781439811757,Electric and Hybrid Vehicles: Design Fundamentals (2nd Edition),Iqbal Husain,2010,CRC Press,https://covers.openlibrary.org/b/isbn/9781439811757-S.jpg,https://covers.openlibrary.org/b/isbn/9781439811757-M.jpg,https://covers.openlibrary.org/b/isbn/9781439811757.0-L.jpg,https://www.amazon.com/Electric-Hybrid-Vehicles-Design-Fundamentals/dp/143981175X
9781009397759,Introduction to Electrodynamics (5th Ed),David J. Griffiths,2023,Cambridge University Press,https://covers.openlibrary.org/b/isbn/9781009397759-S.jpg,https://covers.openlibrary.org/b/isbn/9781009397759-M.jpg,https://covers.openlibrary.org/b/isbn/9781009397759-L.jpg,https://www.amazon.com/Introduction-Electrodynamics-David-J-Griffiths/dp/1009397753
9781260453751,Roark’s Formulas for Stress and Strain,Richard G. Budynas & Ali M. Sadegh,2020,McGraw‑Hill,https://covers.openlibrary.org/b/isbn/9781260453751-S.jpg,https://covers.openlibrary.org/b/isbn/9781260453751-M.jpg,https://covers.openlibrary.org/b/isbn/9781260453751-L.jpg,https://www.amazon.com/Roarks-Formulas-Stress-Strain-9E/dp/1260453758
9780521198219,An Introduction to Mechanics,Daniel Kleppner & Robert J. Kolenkow,2010,Cambridge University Press,https://covers.openlibrary.org/b/isbn/9780521198219-S.jpg,https://covers.openlibrary.org/b/isbn/9780521198219-M.jpg,https://covers.openlibrary.org/b/isbn/9780521198219-L.jpg,https://www.amazon.com/Introduction-Mechanics-Daniel-Kleppner/dp/0521198216
9780470458365,Advanced Engineering Mathematics,Erwin Kreyszig,2011,Wiley,https://covers.openlibrary.org/b/isbn/9780470458365-S.jpg,https://covers.openlibrary.org/b/isbn/9780470458365-M.jpg,https://covers.openlibrary.org/b/isbn/9780470458365-L.jpg,https://www.amazon.com/Advanced-Engineering-Mathematics-Erwin-Kreyszig/dp/0470458364
9780470501979,Fundamentals of Fluid Mechanics,Bruce R. Munson et al.,2013,Wiley,https://covers.openlibrary.org/b/isbn/9780470501979-S.jpg,https://covers.openlibrary.org/b/isbn/9780470501979-M.jpg,https://covers.openlibrary.org/b/isbn/9780470501979-L.jpg,https://www.amazon.com/Fundamentals-Heat-Transfer-Theodore-Bergman/dp/0470501979
