User-ID,Location,Age
U001,"Nagpur, India",26
U002,"Mumbai, India",19
U003,"Jaipur, India",21
U004,"Kanpur, India",27
U005,"Dhanbad, India",33
U006,"Nagpur, India",22
U007,"Ranchi, India",19
U008,"Bhopal, India",18
U009,"Faridabad, India",32
U010,"Bhopal, India",27
U011,"Mumbai, India",25
U012,"Pune, India",20
U013,"Meerut, India",23
U014,"Jaipur, India",18
U015,"Meerut, India",20
U016,"Meerut, India",30
U017,"Rajkot, India",18
U018,"Amritsar, India",27
U019,"Amritsar, India",34
U020,"Allahabad, India",21
U021,"Jaipur, India",32
U022,"Dhanbad, India",34
U023,"Amritsar, India",29
U024,"Coimbatore, India",32
U025,"Ranchi, India",31
U026,"Aurangabad, India",31
U027,"Jaipur, India",24
U028,"Rajkot, India",29
U029,"Mumbai, India",29
U030,"Ahmedabad, India",27
U031,"Aurangabad, India",29
U032,"Patna, India",20
U033,"Bengaluru, India",22
U034,"Lucknow, India",21
U035,"Dhanbad, India",36
U036,"Vadodara, India",18
U037,"Nashik, India",19
U038,"Aurangabad, India",25
U039,"Nagpur, India",29
U040,"Agra, India",25
U041,"Srinagar, India",18
U042,"Chennai, India",26
U043,"Hyderabad, India",31
U044,"Amritsar, India",24
U045,"Srinagar, India",35
U046,"Bhopal, India",18
U047,"Kanpur, India",27
U048,"Nashik, India",26
U049,"Jaipur, India",36
U050,"Indore, India",26
U051,"Kanpur, India",30
U052,"Mumbai, India",35
U053,"Kanpur, India",39
U054,"Varanasi, India",18
U055,"Kanpur, India",27
U056,"Amritsar, India",35
U057,"Ranchi, India",30
U058,"Bengaluru, India",22
U059,"Amritsar, India",31
U060,"Srinagar, India",23
U061,"Patna, India",19
U062,"Jaipur, India",36
U063,"Hyderabad, India",22
U064,"Srinagar, India",22
U065,"Dhanbad, India",32
U066,"Ranchi, India",31
U067,"Meerut, India",33
U068,"Varanasi, India",24
U069,"Bhopal, India",37
U070,"Faridabad, India",34
U071,"Pune, India",21
U072,"Nagpur, India",25
U073,"Ranchi, India",25
U074,"Indore, India",32
U075,"Bengaluru, India",25
U076,"Ranchi, India",32
U077,"Pune, India",26
U078,"Ludhiana, India",19
U079,"Allahabad, India",22
U080,"Kolkata, India",34
U081,"Agra, India",36
U082,"Mumbai, India",36
U083,"Kolkata, India",34
U084,"Pune, India",29
U085,"Mumbai, India",19
U086,"Pune, India",21
U087,"Patna, India",26
U088,"Allahabad, India",34
U089,"Pune, India",34
U090,"Pune, India",27
U091,"Bengaluru, India",21
U092,"Ludhiana, India",39
U093,"Rajkot, India",21
U094,"Srinagar, India",38
U095,"Pune, India",27
U096,"Nashik, India",23
U097,"Coimbatore, India",39
U098,"Aurangabad, India",23
U099,"Pune, India",19
U100,"Indore, India",20
U101,"Ludhiana, India",20
U102,"Kolkata, India",30
U103,"Ludhiana, India",18
U104,"Bengaluru, India",28
U105,"Agra, India",20
U106,"Kolkata, India",23
U107,"Coimbatore, India",25
U108,"Rajkot, India",38
U109,"Ahmedabad, India",27
U110,"Srinagar, India",21
U111,"Delhi, India",33
U112,"Srinagar, India",23
U113,"Indore, India",39
U114,"Amritsar, India",21
U115,"Patna, India",39
U116,"Hyderabad, India",37
U117,"Allahabad, India",20
U118,"Ludhiana, India",29
U119,"Lucknow, India",21
U120,"Pune, India",37
U121,"Indore, India",26
U122,"Dhanbad, India",27
U123,"Lucknow, India",28
U124,"Mumbai, India",28
U125,"Indore, India",23
U126,"Srinagar, India",33
U127,"Mumbai, India",20
U128,"Patna, India",36
U129,"Dhanbad, India",35
U130,"Lucknow, India",22
U131,"Coimbatore, India",20
U132,"Dhanbad, India",33
U133,"Chennai, India",34
U134,"Dhanbad, India",39
U135,"Kolkata, India",24
U136,"Aurangabad, India",37
U137,"Faridabad, India",34
U138,"Ludhiana, India",21
U139,"Jaipur, India",27
U140,"Srinagar, India",26
U141,"Hyderabad, India",39
U142,"Patna, India",27
U143,"Bhopal, India",26
U144,"Kanpur, India",19
U145,"Vadodara, India",24
U146,"Patna, India",21
U147,"Amritsar, India",35
U148,"Ludhiana, India",19
U149,"Bhopal, India",28
U150,"Nagpur, India",35
U151,"Dhanbad, India",24
U152,"Patna, India",38
U153,"Amritsar, India",26
U154,"Lucknow, India",27
U155,"Lucknow, India",18
U156,"Delhi, India",30
U157,"Aurangabad, India",30
U158,"Nagpur, India",21
U159,"Nagpur, India",25
U160,"Nashik, India",37
U161,"Hyderabad, India",37
U162,"Jaipur, India",28
U163,"Indore, India",27
U164,"Chennai, India",24
U165,"Coimbatore, India",23
U166,"Lucknow, India",28
U167,"Indore, India",28
U168,"Nagpur, India",27
U169,"Mumbai, India",32
U170,"Patna, India",24
U171,"Faridabad, India",22
U172,"Bengaluru, India",34
U173,"Meerut, India",34
U174,"Delhi, India",29
U175,"Bengaluru, India",36
U176,"Hyderabad, India",30
U177,"Rajkot, India",26
U178,"Rajkot, India",34
U179,"Patna, India",27
U180,"Kolkata, India",26
U181,"Varanasi, India",19
U182,"Aurangabad, India",23
U183,"Amritsar, India",33
U184,"Ludhiana, India",39
U185,"Coimbatore, India",37
U186,"Ludhiana, India",20
U187,"Ludhiana, India",30
U188,"Vadodara, India",37
U189,"Aurangabad, India",37
U190,"Delhi, India",26
U191,"Kolkata, India",37
U192,"Aurangabad, India",29
U193,"Amritsar, India",20
U194,"Varanasi, India",21
U195,"Coimbatore, India",32
U196,"Patna, India",34
U197,"Pune, India",24
U198,"Jaipur, India",33
U199,"Allahabad, India",25
U200,"Patna, India",33
U201,"Rajkot, India",27
U202,"Hyderabad, India",35
U203,"Bengaluru, India",21
U204,"Nashik, India",24
U205,"Dhanbad, India",29
U206,"Bengaluru, India",29
U207,"Ludhiana, India",31
U208,"Jaipur, India",23
U209,"Amritsar, India",33
U210,"Agra, India",23
U211,"Bhopal, India",37
U212,"Dhanbad, India",37
U213,"Indore, India",18
U214,"Pune, India",32
U215,"Jaipur, India",34
U216,"Bengaluru, India",33
U217,"Chennai, India",22
U218,"Agra, India",21
U219,"Meerut, India",27
U220,"Bengaluru, India",35
U221,"Aurangabad, India",33
U222,"Pune, India",26
U223,"Srinagar, India",39
U224,"Chennai, India",31
U225,"Kolkata, India",33
U226,"Chennai, India",36
U227,"Pune, India",25
U228,"Ranchi, India",27
U229,"Nagpur, India",26
U230,"Hyderabad, India",18
U231,"Bhopal, India",37
U232,"Amritsar, India",32
U233,"Kanpur, India",25
U234,"Ahmedabad, India",24
U235,"Ludhiana, India",34
U236,"Ahmedabad, India",28
U237,"Faridabad, India",28
U238,"Faridabad, India",23
U239,"Delhi, India",26
U240,"Nashik, India",39
U241,"Mumbai, India",20
U242,"Pune, India",30
U243,"Allahabad, India",25
U244,"Hyderabad, India",29
U245,"Varanasi, India",33
U246,"Ahmedabad, India",39
U247,"Rajkot, India",27
U248,"Delhi, India",37
U249,"Vadodara, India",36
U250,"Rajkot, India",29
U251,"Ludhiana, India",23
U252,"Agra, India",22
U253,"Faridabad, India",33
U254,"Meerut, India",21
U255,"Patna, India",36
U256,"Pune, India",23
U257,"Delhi, India",19
U258,"Ludhiana, India",25
U259,"Allahabad, India",25
U260,"Ludhiana, India",18
U261,"Bengaluru, India",18
U262,"Hyderabad, India",33
U263,"Nagpur, India",36
U264,"Agra, India",20
U265,"Rajkot, India",20
U266,"Jaipur, India",37
U267,"Bengaluru, India",37
U268,"Ranchi, India",29
U269,"Nagpur, India",20
U270,"Faridabad, India",21
U271,"Patna, India",28
U272,"Ranchi, India",19
U273,"Coimbatore, India",34
U274,"Ludhiana, India",29
U275,"Nashik, India",37
U276,"Kanpur, India",26
U277,"Aurangabad, India",38
U278,"Bhopal, India",26
U279,"Varanasi, India",25
U280,"Faridabad, India",29
U281,"Mumbai, India",21
U282,"Bengaluru, India",23
U283,"Agra, India",30
U284,"Agra, India",25
U285,"Ludhiana, India",26
U286,"Lucknow, India",38
U287,"Hyderabad, India",19
U288,"Chennai, India",20
U289,"Srinagar, India",29
U290,"Hyderabad, India",28
U291,"Bhopal, India",31
U292,"Rajkot, India",33
U293,"Chennai, India",32
U294,"Mumbai, India",22
U295,"Lucknow, India",33
U296,"Ahmedabad, India",21
U297,"Ludhiana, India",33
U298,"Ahmedabad, India",25
U299,"Patna, India",26
U300,"Bhopal, India",21
U301,"Uttar Pradesh, India",51
U302,"Bangalore, India",58
U303,"Uttar Pradesh, India",26
U304,"Chennai, India",22
U305,"Chennai, India",54
U306,"Bangalore, India",45
U307,"Himachal Pradesh, India",33
U308,"Himachal Pradesh, India",35
U309,"Tamil Nadu, India",29
U310,"Tamil Nadu, India",51
U311,"Uttarakhand, India",21
U312,"Uttarakhand, India",30
U313,"Uttarakhand, India",24
U314,"Uttar Pradesh, India",55
U315,"Tamil Nadu, India",45
U316,"Uttarakhand, India",55
U317,"Bangalore, India",35
U318,"Tamil Nadu, India",19
U319,"Uttarakhand, India",25
U320,"Uttar Pradesh, India",30
U321,"Tamil Nadu, India",25
U322,"Bangalore, India",40
U323,"Bangalore, India",58
U324,"Chennai, India",31
U325,"Himachal Pradesh, India",35
U326,"Himachal Pradesh, India",27
U327,"Uttarakhand, India",18
U328,"Chennai, India",23
U329,"Himachal Pradesh, India",34
U330,"Tamil Nadu, India",45
U331,"Tamil Nadu, India",39
U332,"Chennai, India",30
U333,"Uttarakhand, India",33
U334,"Tamil Nadu, India",37
U335,"Chennai, India",32
U336,"Tamil Nadu, India",31
U337,"Chennai, India",40
U338,"Uttarakhand, India",42
U339,"Tamil Nadu, India",30
U340,"Uttar Pradesh, India",39
U341,"Uttar Pradesh, India",53
U342,"Uttar Pradesh, India",32
U343,"Himachal Pradesh, India",34
U344,"Tamil Nadu, India",38
U345,"Chennai, India",52
U346,"Bangalore, India",32
U347,"Uttar Pradesh, India",20
U348,"Himachal Pradesh, India",28
U349,"Uttar Pradesh, India",60
U350,"Himachal Pradesh, India",56
U351,"Himachal Pradesh, India",19
U352,"Tamil Nadu, India",22
U353,"Uttar Pradesh, India",52
U354,"Bangalore, India",32
U355,"Bangalore, India",19
U356,"Himachal Pradesh, India",19
U357,"Chennai, India",43
U358,"Tamil Nadu, India",37
U359,"Tamil Nadu, India",47
U360,"Himachal Pradesh, India",41
U361,"Uttar Pradesh, India",47
U362,"Himachal Pradesh, India",53
U363,"Chennai, India",23
U364,"Bangalore, India",57
U365,"Chennai, India",36
U366,"Chennai, India",48
U367,"Uttarakhand, India",51
U368,"Uttar Pradesh, India",46
U369,"Bangalore, India",18
U370,"Uttarakhand, India",43
U371,"Chennai, India",33
U372,"Tamil Nadu, India",46
U373,"Uttar Pradesh, India",51
U374,"Bangalore, India",38
U375,"Tamil Nadu, India",41
U376,"Himachal Pradesh, India",30
U377,"Tamil Nadu, India",40
U378,"Chennai, India",28
U379,"Tamil Nadu, India",37
U380,"Uttar Pradesh, India",37
U381,"Himachal Pradesh, India",39
U382,"Uttarakhand, India",31
U383,"Tamil Nadu, India",38
U384,"Tamil Nadu, India",28
U385,"Uttar Pradesh, India",56
U386,"Bangalore, India",40
U387,"Bangalore, India",49
U388,"Himachal Pradesh, India",54
U389,"Himachal Pradesh, India",48
U390,"Bangalore, India",45
U391,"Himachal Pradesh, India",48
U392,"Chennai, India",23
U393,"Bangalore, India",22
U394,"Uttarakhand, India",30
U395,"Uttarakhand, India",25
U396,"Uttar Pradesh, India",46
U397,"Chennai, India",54
U398,"Himachal Pradesh, India",32
U399,"Tamil Nadu, India",29
U400,"Himachal Pradesh, India",29
U401,"Chennai, India",47
U402,"Chennai, India",31
U403,"Bangalore, India",20
U404,"Bangalore, India",33
U405,"Tamil Nadu, India",27
U406,"Uttarakhand, India",39
U407,"Uttar Pradesh, India",29
U408,"Chennai, India",38
U409,"Uttarakhand, India",32
U410,"Uttar Pradesh, India",55
U411,"Tamil Nadu, India",25
U412,"Himachal Pradesh, India",52
U413,"Himachal Pradesh, India",41
U414,"Uttarakhand, India",42
U415,"Himachal Pradesh, India",49
U416,"Chennai, India",47
U417,"Uttar Pradesh, India",59
U418,"Uttar Pradesh, India",38
U419,"Chennai, India",59
U420,"Uttar Pradesh, India",30
U421,"Tamil Nadu, India",38
U422,"Tamil Nadu, India",59
U423,"Uttarakhand, India",57
U424,"Himachal Pradesh, India",27
U425,"Uttarakhand, India",55
U426,"Tamil Nadu, India",33
U427,"Tamil Nadu, India",32
U428,"Bangalore, India",54
U429,"Uttarakhand, India",43
U430,"Uttarakhand, India",39
U431,"Uttar Pradesh, India",49
U432,"Chennai, India",33
U433,"Tamil Nadu, India",26
U434,"Tamil Nadu, India",45
U435,"Himachal Pradesh, India",49
U436,"Uttarakhand, India",45
U437,"Tamil Nadu, India",20
U438,"Chennai, India",25
U439,"Himachal Pradesh, India",53
U440,"Bangalore, India",42
U441,"Bangalore, India",18
U442,"Chennai, India",27
U443,"Tamil Nadu, India",34
U444,"Bangalore, India",34
U445,"Tamil Nadu, India",40
U446,"Himachal Pradesh, India",38
U447,"Bangalore, India",42
U448,"Himachal Pradesh, India",48
U449,"Uttar Pradesh, India",22
U450,"Tamil Nadu, India",55
U451,"Uttar Pradesh, India",26
U452,"Uttarakhand, India",55
U453,"Bangalore, India",58
U454,"Tamil Nadu, India",59
U455,"Uttarakhand, India",43
U456,"Himachal Pradesh, India",31
U457,"Uttarakhand, India",39
U458,"Uttarakhand, India",46
U459,"Uttarakhand, India",34
